"V1","V2","V3","V4","V5"
0.5,0.05,100,2,0.158655253931457
0.5,0.1,100,2,0.158655253931457
0.5,0.15,100,2,0.158655253931457
0.5,0.2,100,2,0.158655253931457
0.5,0.3,100,2,0.158655253931457
0.5,0.4,100,2,0.158655253931457
0.5,0.05,100,2,0.171334064535881
0.5,0.1,100,2,0.171334064535881
0.5,0.15,100,2,0.171334064535881
0.5,0.2,100,2,0.171334064535881
0.5,0.3,100,2,0.171334064535881
0.5,0.4,100,2,0.171334064535881
0.5,0.05,100,2,0.212345714455155
0.5,0.1,100,2,0.212345714455155
0.5,0.15,100,2,0.212345714455155
0.5,0.2,100,2,0.212345714455155
0.5,0.3,100,2,0.212345714455155
0.5,0.4,100,2,0.212345714455155
0.5,0.05,100,2,0.200121703987185
0.5,0.1,100,2,0.200121703987185
0.5,0.15,100,2,0.200121703987185
0.5,0.2,100,2,0.200121703987185
0.5,0.3,100,2,0.200121703987185
0.5,0.4,100,2,0.200121703987185
0.5,0.05,100,2,0.308537538725987
0.5,0.1,100,2,0.308537538725987
0.5,0.15,100,2,0.308537538725987
0.5,0.2,100,2,0.308537538725987
0.5,0.3,100,2,0.308537538725987
0.5,0.4,100,2,0.308537538725987
0.5,0.05,100,2,0.2816308311286
0.5,0.1,100,2,0.2816308311286
0.5,0.15,100,2,0.2816308311286
0.5,0.2,100,2,0.2816308311286
0.5,0.3,100,2,0.2816308311286
0.5,0.4,100,2,0.2816308311286
0.5,0.05,100,2,0.420949092970802
0.5,0.1,100,2,0.420949092970802
0.5,0.15,100,2,0.420949092970802
0.5,0.2,100,2,0.420949092970802
0.5,0.3,100,2,0.420949092970802
0.5,0.4,100,2,0.420949092970802
0.5,0.05,100,2,0.324460445963711
0.5,0.1,100,2,0.324460445963711
0.5,0.15,100,2,0.324460445963711
0.5,0.2,100,2,0.324460445963711
0.5,0.3,100,2,0.324460445963711
0.5,0.4,100,2,0.324460445963711
0.5,0.05,100,5,0.158655253931457
0.5,0.1,100,5,0.158655253931457
0.5,0.15,100,5,0.158655253931457
0.5,0.2,100,5,0.158655253931457
0.5,0.3,100,5,0.158655253931457
0.5,0.4,100,5,0.158655253931457
0.5,0.05,100,5,0.171334064535881
0.5,0.1,100,5,0.171334064535881
0.5,0.15,100,5,0.171334064535881
0.5,0.2,100,5,0.171334064535881
0.5,0.3,100,5,0.171334064535881
0.5,0.4,100,5,0.171334064535881
0.5,0.05,100,5,0.212345714455155
0.5,0.1,100,5,0.212345714455155
0.5,0.15,100,5,0.212345714455155
0.5,0.2,100,5,0.212345714455155
0.5,0.3,100,5,0.212345714455155
0.5,0.4,100,5,0.212345714455155
0.5,0.05,100,5,0.200121703987185
0.5,0.1,100,5,0.200121703987185
0.5,0.15,100,5,0.200121703987185
0.5,0.2,100,5,0.200121703987185
0.5,0.3,100,5,0.200121703987185
0.5,0.4,100,5,0.200121703987185
0.5,0.05,100,5,0.308537538725987
0.5,0.1,100,5,0.308537538725987
0.5,0.15,100,5,0.308537538725987
0.5,0.2,100,5,0.308537538725987
0.5,0.3,100,5,0.308537538725987
0.5,0.4,100,5,0.308537538725987
0.5,0.05,100,5,0.2816308311286
0.5,0.1,100,5,0.2816308311286
0.5,0.15,100,5,0.2816308311286
0.5,0.2,100,5,0.2816308311286
0.5,0.3,100,5,0.2816308311286
0.5,0.4,100,5,0.2816308311286
0.5,0.05,100,5,0.420949092970802
0.5,0.1,100,5,0.420949092970802
0.5,0.15,100,5,0.420949092970802
0.5,0.2,100,5,0.420949092970802
0.5,0.3,100,5,0.420949092970802
0.5,0.4,100,5,0.420949092970802
0.5,0.05,100,5,0.324460445963711
0.5,0.1,100,5,0.324460445963711
0.5,0.15,100,5,0.324460445963711
0.5,0.2,100,5,0.324460445963711
0.5,0.3,100,5,0.324460445963711
0.5,0.4,100,5,0.324460445963711
0.5,0.05,100,10,0.158655253931457
0.5,0.1,100,10,0.158655253931457
0.5,0.15,100,10,0.158655253931457
0.5,0.2,100,10,0.158655253931457
0.5,0.3,100,10,0.158655253931457
0.5,0.4,100,10,0.158655253931457
0.5,0.05,100,10,0.171334064535881
0.5,0.1,100,10,0.171334064535881
0.5,0.15,100,10,0.171334064535881
0.5,0.2,100,10,0.171334064535881
0.5,0.3,100,10,0.171334064535881
0.5,0.4,100,10,0.171334064535881
0.5,0.05,100,10,0.212345714455155
0.5,0.1,100,10,0.212345714455155
0.5,0.15,100,10,0.212345714455155
0.5,0.2,100,10,0.212345714455155
0.5,0.3,100,10,0.212345714455155
0.5,0.4,100,10,0.212345714455155
0.5,0.05,100,10,0.200121703987185
0.5,0.1,100,10,0.200121703987185
0.5,0.15,100,10,0.200121703987185
0.5,0.2,100,10,0.200121703987185
0.5,0.3,100,10,0.200121703987185
0.5,0.4,100,10,0.200121703987185
0.5,0.05,100,10,0.308537538725987
0.5,0.1,100,10,0.308537538725987
0.5,0.15,100,10,0.308537538725987
0.5,0.2,100,10,0.308537538725987
0.5,0.3,100,10,0.308537538725987
0.5,0.4,100,10,0.308537538725987
0.5,0.05,100,10,0.2816308311286
0.5,0.1,100,10,0.2816308311286
0.5,0.15,100,10,0.2816308311286
0.5,0.2,100,10,0.2816308311286
0.5,0.3,100,10,0.2816308311286
0.5,0.4,100,10,0.2816308311286
0.5,0.05,100,10,0.420949092970802
0.5,0.1,100,10,0.420949092970802
0.5,0.15,100,10,0.420949092970802
0.5,0.2,100,10,0.420949092970802
0.5,0.3,100,10,0.420949092970802
0.5,0.4,100,10,0.420949092970802
0.5,0.05,100,10,0.324460445963711
0.5,0.1,100,10,0.324460445963711
0.5,0.15,100,10,0.324460445963711
0.5,0.2,100,10,0.324460445963711
0.5,0.3,100,10,0.324460445963711
0.5,0.4,100,10,0.324460445963711
0.5,0.05,500,2,0.158655253931457
0.5,0.1,500,2,0.158655253931457
0.5,0.15,500,2,0.158655253931457
0.5,0.2,500,2,0.158655253931457
0.5,0.3,500,2,0.158655253931457
0.5,0.4,500,2,0.158655253931457
0.5,0.05,500,2,0.171334064535881
0.5,0.1,500,2,0.171334064535881
0.5,0.15,500,2,0.171334064535881
0.5,0.2,500,2,0.171334064535881
0.5,0.3,500,2,0.171334064535881
0.5,0.4,500,2,0.171334064535881
0.5,0.05,500,2,0.212345714455155
0.5,0.1,500,2,0.212345714455155
0.5,0.15,500,2,0.212345714455155
0.5,0.2,500,2,0.212345714455155
0.5,0.3,500,2,0.212345714455155
0.5,0.4,500,2,0.212345714455155
0.5,0.05,500,2,0.200121703987185
0.5,0.1,500,2,0.200121703987185
0.5,0.15,500,2,0.200121703987185
0.5,0.2,500,2,0.200121703987185
0.5,0.3,500,2,0.200121703987185
0.5,0.4,500,2,0.200121703987185
0.5,0.05,500,2,0.308537538725987
0.5,0.1,500,2,0.308537538725987
0.5,0.15,500,2,0.308537538725987
0.5,0.2,500,2,0.308537538725987
0.5,0.3,500,2,0.308537538725987
0.5,0.4,500,2,0.308537538725987
0.5,0.05,500,2,0.2816308311286
0.5,0.1,500,2,0.2816308311286
0.5,0.15,500,2,0.2816308311286
0.5,0.2,500,2,0.2816308311286
0.5,0.3,500,2,0.2816308311286
0.5,0.4,500,2,0.2816308311286
0.5,0.05,500,2,0.420949092970802
0.5,0.1,500,2,0.420949092970802
0.5,0.15,500,2,0.420949092970802
0.5,0.2,500,2,0.420949092970802
0.5,0.3,500,2,0.420949092970802
0.5,0.4,500,2,0.420949092970802
0.5,0.05,500,2,0.324460445963711
0.5,0.1,500,2,0.324460445963711
0.5,0.15,500,2,0.324460445963711
0.5,0.2,500,2,0.324460445963711
0.5,0.3,500,2,0.324460445963711
0.5,0.4,500,2,0.324460445963711
0.5,0.05,500,5,0.158655253931457
0.5,0.1,500,5,0.158655253931457
0.5,0.15,500,5,0.158655253931457
0.5,0.2,500,5,0.158655253931457
0.5,0.3,500,5,0.158655253931457
0.5,0.4,500,5,0.158655253931457
0.5,0.05,500,5,0.171334064535881
0.5,0.1,500,5,0.171334064535881
0.5,0.15,500,5,0.171334064535881
0.5,0.2,500,5,0.171334064535881
0.5,0.3,500,5,0.171334064535881
0.5,0.4,500,5,0.171334064535881
0.5,0.05,500,5,0.212345714455155
0.5,0.1,500,5,0.212345714455155
0.5,0.15,500,5,0.212345714455155
0.5,0.2,500,5,0.212345714455155
0.5,0.3,500,5,0.212345714455155
0.5,0.4,500,5,0.212345714455155
0.5,0.05,500,5,0.200121703987185
0.5,0.1,500,5,0.200121703987185
0.5,0.15,500,5,0.200121703987185
0.5,0.2,500,5,0.200121703987185
0.5,0.3,500,5,0.200121703987185
0.5,0.4,500,5,0.200121703987185
0.5,0.05,500,5,0.308537538725987
0.5,0.1,500,5,0.308537538725987
0.5,0.15,500,5,0.308537538725987
0.5,0.2,500,5,0.308537538725987
0.5,0.3,500,5,0.308537538725987
0.5,0.4,500,5,0.308537538725987
0.5,0.05,500,5,0.2816308311286
0.5,0.1,500,5,0.2816308311286
0.5,0.15,500,5,0.2816308311286
0.5,0.2,500,5,0.2816308311286
0.5,0.3,500,5,0.2816308311286
0.5,0.4,500,5,0.2816308311286
0.5,0.05,500,5,0.420949092970802
0.5,0.1,500,5,0.420949092970802
0.5,0.15,500,5,0.420949092970802
0.5,0.2,500,5,0.420949092970802
0.5,0.3,500,5,0.420949092970802
0.5,0.4,500,5,0.420949092970802
0.5,0.05,500,5,0.324460445963711
0.5,0.1,500,5,0.324460445963711
0.5,0.15,500,5,0.324460445963711
0.5,0.2,500,5,0.324460445963711
0.5,0.3,500,5,0.324460445963711
0.5,0.4,500,5,0.324460445963711
0.5,0.05,500,10,0.158655253931457
0.5,0.1,500,10,0.158655253931457
0.5,0.15,500,10,0.158655253931457
0.5,0.2,500,10,0.158655253931457
0.5,0.3,500,10,0.158655253931457
0.5,0.4,500,10,0.158655253931457
0.5,0.05,500,10,0.171334064535881
0.5,0.1,500,10,0.171334064535881
0.5,0.15,500,10,0.171334064535881
0.5,0.2,500,10,0.171334064535881
0.5,0.3,500,10,0.171334064535881
0.5,0.4,500,10,0.171334064535881
0.5,0.05,500,10,0.212345714455155
0.5,0.1,500,10,0.212345714455155
0.5,0.15,500,10,0.212345714455155
0.5,0.2,500,10,0.212345714455155
0.5,0.3,500,10,0.212345714455155
0.5,0.4,500,10,0.212345714455155
0.5,0.05,500,10,0.200121703987185
0.5,0.1,500,10,0.200121703987185
0.5,0.15,500,10,0.200121703987185
0.5,0.2,500,10,0.200121703987185
0.5,0.3,500,10,0.200121703987185
0.5,0.4,500,10,0.200121703987185
0.5,0.05,500,10,0.308537538725987
0.5,0.1,500,10,0.308537538725987
0.5,0.15,500,10,0.308537538725987
0.5,0.2,500,10,0.308537538725987
0.5,0.3,500,10,0.308537538725987
0.5,0.4,500,10,0.308537538725987
0.5,0.05,500,10,0.2816308311286
0.5,0.1,500,10,0.2816308311286
0.5,0.15,500,10,0.2816308311286
0.5,0.2,500,10,0.2816308311286
0.5,0.3,500,10,0.2816308311286
0.5,0.4,500,10,0.2816308311286
0.5,0.05,500,10,0.420949092970802
0.5,0.1,500,10,0.420949092970802
0.5,0.15,500,10,0.420949092970802
0.5,0.2,500,10,0.420949092970802
0.5,0.3,500,10,0.420949092970802
0.5,0.4,500,10,0.420949092970802
0.5,0.05,500,10,0.324460445963711
0.5,0.1,500,10,0.324460445963711
0.5,0.15,500,10,0.324460445963711
0.5,0.2,500,10,0.324460445963711
0.5,0.3,500,10,0.324460445963711
0.5,0.4,500,10,0.324460445963711
